epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
83,1013.82,0.87247,0.40633,0.91545,0.96322,0.92907,0.96939,0.64426,1.30393,0.52295,1.06572,0.000268938,0.000268938,0.000268938
84,1024.02,0.88559,0.41016,0.91539,0.95905,0.93196,0.97066,0.64094,1.32812,0.52034,1.06875,0.000254791,0.000254791,0.000254791
85,1032.91,0.87096,0.40998,0.92082,0.95337,0.9311,0.97291,0.64002,1.32069,0.51914,1.06753,0.000240644,0.000240644,0.000240644
86,1041.41,0.87935,0.41462,0.92495,0.94686,0.92774,0.9691,0.64229,1.30433,0.51863,1.06711,0.000226497,0.000226497,0.000226497
87,1055.32,0.86491,0.40341,0.90779,0.94672,0.93657,0.97005,0.63856,1.30673,0.52388,1.06579,0.000212349,0.000212349,0.000212349
88,1067.91,0.86927,0.40844,0.90892,0.94279,0.93429,0.96911,0.64095,1.31378,0.52985,1.0668,0.000198202,0.000198202,0.000198202
89,1077.46,0.85061,0.40277,0.91053,0.95284,0.92571,0.96427,0.63421,1.31098,0.53056,1.06657,0.000184055,0.000184055,0.000184055
90,1084.38,0.85552,0.4052,0.90507,0.94944,0.92836,0.96648,0.63681,1.30522,0.5243,1.06665,0.000169908,0.000169908,0.000169908
91,1096.83,0.91924,0.4283,0.93656,0.94402,0.92795,0.96477,0.62995,1.30462,0.52758,1.0702,0.000155761,0.000155761,0.000155761
92,1107.56,0.88232,0.40356,0.92715,0.94428,0.92636,0.96405,0.63405,1.30516,0.52374,1.07547,0.000141614,0.000141614,0.000141614
93,1112.92,0.86962,0.40536,0.91686,0.94843,0.93377,0.96835,0.63631,1.30577,0.51787,1.07843,0.000127467,0.000127467,0.000127467
94,1120.42,0.85094,0.39732,0.89508,0.9487,0.94137,0.96859,0.63137,1.32159,0.51851,1.08663,0.00011332,0.00011332,0.00011332
95,1128.07,0.8584,0.39859,0.91693,0.95374,0.94116,0.96677,0.63323,1.31734,0.51778,1.08547,9.91726e-05,9.91726e-05,9.91726e-05
96,1133.4,0.83745,0.38826,0.91804,0.95458,0.93952,0.96665,0.63075,1.31696,0.52047,1.08385,8.50255e-05,8.50255e-05,8.50255e-05
97,1140.77,0.84479,0.38941,0.9023,0.94512,0.94744,0.9642,0.63015,1.32092,0.52331,1.08563,7.08784e-05,7.08784e-05,7.08784e-05
98,1148.07,0.84584,0.38929,0.90967,0.94324,0.94991,0.96459,0.63117,1.32032,0.52337,1.08628,5.67313e-05,5.67313e-05,5.67313e-05
99,1156.84,0.85502,0.39625,0.90063,0.94366,0.94864,0.96487,0.62973,1.3192,0.5222,1.08709,4.25842e-05,4.25842e-05,4.25842e-05
100,1162.68,0.82744,0.38309,0.9035,0.94413,0.94853,0.96523,0.63086,1.31701,0.5232,1.08719,2.84371e-05,2.84371e-05,2.84371e-05
